iter	Passed	Remaining
590	4003	63741
591	4009	63723
592	4016	63720
593	4023	63707
594	4029	63692
595	4035	63679
596	4041	63661
597	4047	63642
598	4054	63625
599	4060	63618
600	4066	63600
601	4072	63576
602	4079	63570
603	4086	63563
604	4091	63542
605	4098	63531
606	4104	63510
607	4110	63493
608	4115	63469
609	4122	63453
610	4128	63440
611	4134	63421
612	4141	63416
613	4148	63409
614	4154	63403
615	4161	63397
616	4167	63375
617	4173	63360
618	4180	63354
619	4186	63344
620	4193	63329
621	4198	63306
622	4205	63291
623	4212	63289
624	4218	63273
625	4236	63435
626	4242	63423
627	4248	63408
628	4254	63389
629	4260	63371
630	4267	63359
631	4273	63347
632	4280	63346
633	4287	63342
634	4294	63338
635	4301	63337
636	4308	63331
637	4315	63318
638	4321	63301
639	4327	63294
640	4334	63283
641	4340	63269
642	4346	63254
643	4353	63246
644	4359	63234
645	4367	63235
646	4373	63225
647	4379	63211
648	4387	63214
649	4394	63207
650	4400	63201
651	4408	63206
652	4416	63210
653	4423	63207
654	4429	63198
655	4436	63191
656	4442	63173
657	4448	63160
658	4454	63143
659	4461	63140
660	4468	63137
661	4474	63119
662	4481	63108
663	4487	63099
664	4493	63080
665	4499	63066
666	4506	63058
667	4513	63047
668	4519	63032
669	4525	63021
670	4531	63006
671	4538	63001
672	4545	62989
673	4551	62974
674	4557	62958
675	4563	62937
676	4569	62931
677	4576	62916
678	4582	62905
679	4588	62894
680	4594	62876
681	4601	62869
682	4608	62865
683	4614	62853
684	4620	62837
685	4627	62823
686	4634	62829
687	4642	62830
688	4648	62825
689	4655	62815
690	4662	62808
691	4668	62800
692	4675	62787
693	4681	62779
694	4687	62764
695	4694	62748
696	4700	62741
697	4707	62733
698	4712	62711
699	4719	62695
700	4725	62679
701	4731	62672
702	4738	62663
703	4744	62643
704	4750	62632
705	4756	62611
706	4762	62604
707	4768	62586
708	4774	62570
709	4780	62555
710	4787	62543
711	4793	62527
712	4800	62524
713	4806	62514
714	4812	62500
715	4819	62489
716	4825	62473
717	4832	62469
718	4837	62446
719	4843	62429
720	4849	62409
721	4855	62399
722	4862	62394
723	4868	62379
724	4874	62363
725	4880	62348
726	4886	62333
727	4893	62329
728	4899	62311
729	4906	62301
730	4912	62286
731	4918	62274
732	4925	62268
733	4931	62256
734	4938	62252
735	4944	62240
736	4950	62221
737	4956	62206
738	4963	62199
739	4969	62189
740	4975	62176
741	4982	62164
742	4988	62154
743	4995	62145
744	5001	62132
745	5007	62117
746	5014	62110
747	5020	62092
748	5026	62088
749	5033	62082
750	5040	62070
751	5046	62058
752	5052	62043
753	5058	62032
754	5065	62024
755	5071	62006
756	5077	62001
757	5084	61990
758	5090	61980
759	5096	61964
760	5102	61952
761	5108	61935
762	5114	61915
763	5120	61904
764	5127	61904
765	5134	61900
766	5141	61895
767	5147	61880
768	5154	61870
769	5160	61859
770	5166	61842
771	5172	61831
772	5179	61823
773	5186	61816
774	5192	61805
775	5198	61796
776	5205	61786
777	5211	61775
778	5218	61773
779	5225	61770
780	5231	61753
781	5237	61739
782	5243	61721
783	5249	61708
784	5256	61701
785	5262	61690
786	5268	61670
787	5273	61651
788	5279	61638
789	5286	61630
790	5292	61615
791	5298	61598
792	5304	61591
793	5311	61582
794	5317	61573
795	5324	61565
796	5330	61555
797	5338	61556
798	5344	61542
799	5351	61541
800	5358	61534
801	5364	61524
802	5371	61519
803	5378	61515
804	5385	61515
805	5392	61509
806	5398	61502
807	5405	61496
808	5412	61488
809	5418	61475
810	5424	61463
811	5430	61450
812	5437	61441
813	5442	61423
814	5450	61425
815	5456	61412
816	5462	61401
817	5468	61387
818	5475	61381
819	5481	61368
820	5487	61356
821	5493	61342
822	5500	61330
823	5506	61323
824	5513	61312
825	5518	61292
826	5524	61280
827	5531	61274
828	5537	61257
829	5543	61242
830	5549	61226
831	5555	61216
832	5561	61202
833	5568	61195
834	5575	61200
835	5583	61199
836	5589	61187
837	5594	61169
838	5601	61161
839	5608	61154
840	5614	61144
841	5620	61135
842	5627	61126
843	5634	61121
844	5641	61126
845	5648	61114
846	5655	61114
847	5661	61100
848	5667	61083
849	5673	61073
850	5679	61057
851	5685	61047
852	5692	61045
853	5698	61030
854	5704	61018
855	5710	60999
856	5716	60984
857	5722	60972
858	5728	60960
859	5734	60949
860	5741	60941
861	5747	60925
862	5753	60911
863	5758	60894
864	5764	60879
865	5771	60876
866	5777	60865
867	5784	60854
868	5791	60849
869	5797	60840
870	5804	60832
871	5810	60820
872	5816	60810
873	5822	60796
874	5828	60783
875	5835	60781
876	5841	60768
877	5848	60759
878	5854	60753
879	5861	60751
880	5868	60740
881	5874	60732
882	5881	60724
883	5888	60723
884	5895	60719
885	5901	60705
886	5907	60694
887	5913	60684
888	5920	60671
889	5926	60666
890	5933	60664
891	5940	60658
892	5946	60646
893	5952	60630
894	5958	60616
895	5964	60605
896	5971	60596
897	5977	60583
898	5983	60574
899	5989	60560
900	5996	60553
901	6002	60540
902	6007	60525
903	6014	60517
904	6020	60499
905	6025	60483
906	6032	60475
907	6038	60464
908	6044	60453
909	6050	60443
910	6057	60432
911	6063	60424
912	6069	60414
913	6076	60402
914	6082	60390
915	6089	60388
916	6095	60377
917	6101	60365
918	6108	60357
919	6114	60351
920	6121	60346
921	6128	60345
922	6135	60336
923	6141	60322
924	6147	60310
925	6153	60294
926	6159	60282
927	6165	60274
928	6171	60260
929	6177	60249
930	6183	60238
931	6190	60228
932	6196	60222
933	6203	60211
934	6209	60200
935	6215	60187
936	6221	60175
937	6228	60168
938	6234	60158
939	6240	60150
940	6246	60136
941	6253	60128
942	6259	60118
943	6266	60112
944	6272	60102
945	6278	60086
946	6284	60077
947	6291	60071
948	6297	60063
949	6303	60053
950	6310	60045
951	6316	60034
952	6323	60032
953	6329	60020
954	6336	60017
955	6343	60012
956	6350	60006
957	6357	60000
958	6364	59997
